source,target,weight
_littlebit__,mustbemined,9
_littlebit__,kimmie__kakes,6
_littlebit__,kingofjerzey1,4
_littlebit__,justinalvis,3
_littlebit__,philayee,2
_littlebit__,richassralph,1
ayeemeyeenaye,curlyandlovely,7
ayeemeyeenaye,mssarahbellum,5
ayeemeyeenaye,freshair_in,4
ayeemeyeenaye,ellehoneybee,3
ayeemeyeenaye,alejandrodagr8,2
ayeemeyeenaye,fatbellybella,1
babaoloriokobb,ovieo,8
babaoloriokobb,manutdstuff,6
babaoloriokobb,teaponpi,4
babaoloriokobb,titaguerra,3
babaoloriokobb,laremmy,2
babaoloriokobb,oneangryafrican,1
cashtfe,yoliethejew,7
cashtfe,fatt_stacks,6
cashtfe,clownin_errday,5
cashtfe,mr1738,4
cashtfe,jalenarocks,3
cashtfe,xisthatnigga,2
cashtfe,bourbonandbeer,1
conspiracycrank,93ferg,14
conspiracycrank,shanicetiara,7
conspiracycrank,elrealrafael_,5
conspiracycrank,djdiamondkuts,4
conspiracycrank,_unfabulosaa,3
conspiracycrank,realraymondj,2
conspiracycrank,stephbewildin,1
dancin_4yu,boyimblessed,7
dancin_4yu,the1goldenboy,6
dancin_4yu,d_jourdain00,5
dancin_4yu,iamrickyvasquez,4
dancin_4yu,benjicool_,2
dancin_4yu,sheso_petite,1
darknlovely131,jerzgurlie,11
darknlovely131,tennensseebelle,8
darknlovely131,cristiana_carpe,7
darknlovely131,_o_mgwv_o_,6
darknlovely131,darre5,4
darknlovely131,queenscorpio93,3
darknlovely131,dispursestar1,2
darknlovely131,5waggzilla,1
dimpleface_21,treonthat901,27
dimpleface_21,zskyyyy,17
dimpleface_21,therealdjmellz,16
dimpleface_21,nyaruottongyik,15
dimpleface_21,90210killa_,10
dimpleface_21,tuscanleather__,6
dimpleface_21,mut_point,2
dimpleface_21,selfienigga,1
fomerlot,rebelmouse,14
fomerlot,flexmontana,11
fomerlot,thatartistjayy,10
fomerlot,djsheknows,6
fomerlot,carlyleclub,5
fomerlot,midieaststudio,4
fomerlot,theodoresfurnit,3
fomerlot,nikkirichshowla,2
fomerlot,championstudio,1
gnacho2013,arianagrande,8
gnacho2013,ddlovato,7
gnacho2013,justinbieber,5
gnacho2013,scooterbraun,3
gnacho2013,rixtonofficial,2
gnacho2013,purevolume,1
jadynlovesyou,jacobwhitesides,18
jadynlovesyou,nashgrier,15
jadynlovesyou,mr_carterr,9
jadynlovesyou,grantlandis,8
jadynlovesyou,jackdail,6
jadynlovesyou,itstylerhunter,5
jadynlovesyou,bethanymota,4
jadynlovesyou,jackgilinsky,3
jadynlovesyou,taylorcaniff,2
jadynlovesyou,isalutepretty_,1
jaycartergroup,meekmill,10
jaycartergroup,iamdiddy,7
jaycartergroup,rickyrozay,6
jaycartergroup,frenchmontana,4
jaycartergroup,birdman5star,3
jaycartergroup,gucci1017,2
jaycartergroup,treysongz,1
kash_mill,saylessent,33
kash_mill,ugly_ideas,11
kash_mill,karmaentt,4
kash_mill,thekiddou,3
kash_mill,envy_starxxx,2
kash_mill,okeydoke4,1
kgopethesnail,oscarmoabi,10
kgopethesnail,espnfc,7
kgopethesnail,troll__football,6
kgopethesnail,joel_campbell12,4
kgopethesnail,ofetotse,2
kgopethesnail,bbcsport,1
leshazhane_,henryjblack0825,9
leshazhane_,ariejacks__,7
leshazhane_,kennnnn_,5
leshazhane_,thelifeasdes,3
leshazhane_,beereyeel,2
leshazhane_,kermitsnitchs,1
lushone,mathhoffa,31
lushone,mrdizaster,27
lushone,organikhiphop,13
lushone,kingofthedot,9
lushone,imad2229,8
lushone,seks_wsg,6
lushone,jtynes,5
lushone,gryffin760,4
lushone,mslauratarsi,3
lushone,joobie_,2
lushone,stainlessgpg,1
machinegun_taty,rocko4real,10
machinegun_taty,iamtwerk,8
machinegun_taty,iamthrax,7
machinegun_taty,jamarijonesatl,6
machinegun_taty,bthepilot_,5
machinegun_taty,mrflystylepromo,4
machinegun_taty,trizzysteez,3
machinegun_taty,cheyriiontop,2
machinegun_taty,nicoleeemygoshh,1
madeintawion,chronicambition,43
madeintawion,forever__pink_,24
madeintawion,yesits_breanna,11
madeintawion,nyeeee__,10
madeintawion,ciara_ciaraaa,6
madeintawion,andreabriana__,5
madeintawion,gerardfuller4,4
madeintawion,ipostthosepics,3
madeintawion,pausee__,2
madeintawion,officialwardr94,1
misstit_4_tat,secretdafrique,10
misstit_4_tat,jaybeendoindis,5
misstit_4_tat,therealquest,4
misstit_4_tat,rellbody,3
misstit_4_tat,xstephyb,2
misstit_4_tat,yeahitzmeporter,1
n7i7c7k,notorious_x_dom,7
n7i7c7k,weegietaughtyou,6
n7i7c7k,mleew17,5
n7i7c7k,ballhawk_carter,3
n7i7c7k,streetsuperstar,2
n7i7c7k,addict2_money,1
pilotadot,illicitdemeanor,11
pilotadot,shoelacejake,5
pilotadot,nashdash_,4
pilotadot,sramirezzzz,3
pilotadot,bwasssup,2
pilotadot,ronniefieg,1
queenofthishill,slim_mclovin,28
queenofthishill,dundunitall850,26
queenofthishill,originalillnana,22
queenofthishill,notevensmooth,13
queenofthishill,missz_jay,6
queenofthishill,4brenetwork,5
queenofthishill,loveedomo_,4
queenofthishill,ash_elaine17,3
queenofthishill,brittanylj_,2
queenofthishill,_spillz,1
slink247,miracali,50
slink247,aboutvirgos,15
slink247,babyhomicide106,12
slink247,chiefkeef,10
slink247,umkingclutch,6
slink247,austin_jacobss,5
slink247,tori_zwickk,4
slink247,cedez_supahbadd,3
slink247,bitcheslove_sef,2
slink247,rinaatoocool,1
stillwynning,1rljet,26
stillwynning,dreesuschrist,24
stillwynning,tobycraisin,6
stillwynning,happiecat,5
stillwynning,shehumpsfreely,3
stillwynning,trapsamurai,2
stillwynning,tj_seigal17,1
swaggyyfaggyy,lor_youngreba,9
swaggyyfaggyy,iwantbricecream,8
swaggyyfaggyy,beyondbrokenx,5
swaggyyfaggyy,drakee_ymcmb,4
swaggyyfaggyy,dnisey0908,2
swaggyyfaggyy,leshaa_fly,1
teamforeign_,foreignn_,33
teamforeign_,youtube,12
teamforeign_,vladtv,10
teamforeign_,twitmusic,4
teamforeign_,_xgaza_gal,3
teamforeign_,callher_tyler,2
teamforeign_,breebeautyyy,1
_ilikeitloud_,louisianabhadd,8
_ilikeitloud_,atm_beans,6
_ilikeitloud_,queenlandraa_,4
_ilikeitloud_,p_starmac,3
_ilikeitloud_,zonesixxmontana,2
_ilikeitloud_,keanontubbs,1
_lolahendrixx,ly_lovesme,7
_lolahendrixx,_sun__shine,6
_lolahendrixx,mrronnice,5
_lolahendrixx,therealphendi,4
_lolahendrixx,lifesgolden4me,3
_lolahendrixx,ceelopacino,2
_lolahendrixx,yeaahdreww,1
aarionaa_,siempreshay,11
aarionaa_,beauutifulnae,10
aarionaa_,recprop117_,7
aarionaa_,1sid__,3
aarionaa_,utw_reggie,2
aarionaa_,trent_gone,1
avonsmessiah,justinbieber,11
avonsmessiah,chelscrippen,10
avonsmessiah,ilysmo,9
avonsmessiah,basedbieber,7
avonsmessiah,_xomillie,6
avonsmessiah,electradrews,5
avonsmessiah,avonidol,4
avonsmessiah,muneraisfab,3
avonsmessiah,biebersthrill,2
avonsmessiah,nastyg4l,1
caicaicakey,bigdommm,7
caicaicakey,thenotoriouscma,5
caicaicakey,rollingwithtrin,4
caicaicakey,uglycuhs,3
caicaicakey,chyneeezy,2
caicaicakey,amvzinrnc,1
casey19981,therealtboz,49
casey19981,dancingbballgal,23
casey19981,phaephae_87baby,22
casey19981,sweetpea28285,21
casey19981,slimtweety24,20
casey19981,itskristaduhh,18
casey19981,sham_bree,8
casey19981,nurseladyolivia,5
casey19981,officialchilli,4
casey19981,keshia2112,2
casey19981,brittanylj22,1
chegghelp,sembarista,9
chegghelp,schnife,7
chegghelp,ethanlopez25,6
chegghelp,ratershopno,5
chegghelp,sarahb1784,4
chegghelp,kimberlycolaros,3
chegghelp,ladyemma19,2
chegghelp,mrclbaby,1
cool_j96,no_hoesman,16
cool_j96,jjjaidahhh,8
cool_j96,its_krbxtchh,7
cool_j96,_ahmadc,6
cool_j96,mrgoodvibes_,5
cool_j96,samuleperry,3
cool_j96,100icecreamteam,2
cool_j96,yaaboijimmy,1
djggactivist,tricrew,11
djggactivist,djnyash,7
djggactivist,deejaysanch,6
djggactivist,beebree0,3
djggactivist,homeboyzradio,2
djggactivist,karenwahitz,1
elladecember,yungthanatos,6
elladecember,mdcxix,5
elladecember,nalamonroe__x,4
elladecember,lourdeofdafliez,3
elladecember,imanidh,2
elladecember,lizabethpuds,1
franchise215,young_wildn_bri,7
franchise215,leighanne_skye,6
franchise215,treysrealangel,5
franchise215,nabillahnealy,3
franchise215,chlldhoodruiner,2
franchise215,jchapsu,1
frenchkisses_,_dirtydannnnnnn,8
frenchkisses_,3girls1corey,5
frenchkisses_,xquisitemindset,4
frenchkisses_,dop3_ahhfreak,3
frenchkisses_,lamarflywalker,2
frenchkisses_,raeleeneshawty,1
habskii,marquisetutu,33
habskii,pheatzpoetry,32
habskii,14ajet,25
habskii,_esmeb,10
habskii,cheniique,9
habskii,deejayskin,8
habskii,nivearose,6
habskii,starlightnev,5
habskii,__queenkilah,4
habskii,king_kash1,3
habskii,therealdjgallis,2
habskii,thefunnyvines,1
hereluj,djmarcd,8
hereluj,djkingassassin,5
hereluj,mjthegreatsd,4
hereluj,souljaboy,3
hereluj,starforcehh,2
hereluj,gucci1017,1
himynamebetyler,warmcigarette,12
himynamebetyler,yungturd,5
himynamebetyler,seanarcher98,4
himynamebetyler,lizadaniella,3
himynamebetyler,sickxkitten,2
himynamebetyler,princessyuyi,1
iamchelsey_,jayjaydailey,15
iamchelsey_,diggy_simmons,13
iamchelsey_,tentialthemove,5
iamchelsey_,toussaint215,4
iamchelsey_,realraymondj,3
