source,target,weight
healthyeveryday,discodiva_73,7
healthyeveryday,jixxa,5
healthyeveryday,tazzee,4
healthyeveryday,keyalus,3
healthyeveryday,lutherliz,2
healthyeveryday,nerdgirlms,1
seedandbean,misguidedminx,8
seedandbean,wfmlondon,7
seedandbean,camdenfairtrade,6
seedandbean,dollyparton,5
seedandbean,yogahaven,4
seedandbean,planetorganicuk,3
seedandbean,hbgfort,2
seedandbean,telegraph,1
grillstock,brooklynbrewery,8
grillstock,cliftonchilli,6
grillstock,weberbarbecues,5
grillstock,thestripedpig,4
grillstock,barleyscotch,3
grillstock,hairymaff,2
grillstock,leonajayne14,1
409cope,mommykatandkids,9
409cope,kidsumers,6
409cope,simplystacienet,4
409cope,mapleleaffoods,3
409cope,mdub70deuce,2
409cope,ecotools,1
benayleigh,bryleerichmond,10
benayleigh,besttextmsgs,9
benayleigh,bestmusiclyric,6
benayleigh,country_voices,5
benayleigh,disneywords,3
benayleigh,quotesbyauthors,2
benayleigh,chastonlacaze,1
matilda501,missagnep,11
matilda501,smayor70,9
matilda501,nandosuk,6
matilda501,iamfrenchgirl,5
matilda501,sambaileyreal,2
matilda501,matilda501,1
sundaybrunchc4,simonrim,12
sundaybrunchc4,amandabyram1,11
sundaybrunchc4,matt_diangelo,9
sundaybrunchc4,passengermusic,7
sundaybrunchc4,mrmarkdolan,6
sundaybrunchc4,jfogartydesign,5
sundaybrunchc4,gregfoot,4
sundaybrunchc4,lima_london,3
sundaybrunchc4,garydate,2
sundaybrunchc4,dianelenton,1
chef_myers,bordersprings,7
chef_myers,rolandtrask,6
chef_myers,niksnacks,4
chef_myers,weathervanech,3
chef_myers,chef_t_thompson,2
chef_myers,cityofws,1
jenieats,amycrea,8
jenieats,heideland,6
jenieats,donnahup,5
jenieats,ilikefoodjp,3
jenieats,prairiestylfile,2
jenieats,mezzaluna,1
jayd787,reecefox,9
jayd787,finalshine5,8
jayd787,antyc86,4
jayd787,getsintrouble,3
jayd787,onlydaveyboi,2
jayd787,rob_milly,1
lgreencheeks,jglassesss,11
lgreencheeks,joshgroban,9
lgreencheeks,moonchild_1,8
lgreencheeks,jones173331,7
lgreencheeks,daisy_pal,6
lgreencheeks,feb27song,5
lgreencheeks,risingstarabc,3
lgreencheeks,lsullivanmusic,2
lgreencheeks,espnnfl,1
xaviera44,grantlandis,18
xaviera44,crawfordcollins,11
xaviera44,itsmikeymurphy,10
xaviera44,weeklychris,8
xaviera44,schillinggrant,5
xaviera44,camerondallas,4
xaviera44,taylorcaniff,3
xaviera44,imalexholtti,2
xaviera44,pointlessblog,1
annecupcake,cookwitch,8
annecupcake,thejarofpearls,6
annecupcake,gizzierskine,5
annecupcake,dotd_uk,4
annecupcake,flatironsteak,3
annecupcake,natanyaabrahams,2
annecupcake,thestmagazine,1
christinewilla_,newselk,6
christinewilla_,winesisterhood,5
christinewilla_,nytimes,4
christinewilla_,thedailymeal,3
christinewilla_,cbsnews,2
christinewilla_,iam_seanbond,1
intertweat,cupcakeaffair2,20
intertweat,halfpintohoney,8
intertweat,foodtastic,7
intertweat,bw_wow,6
intertweat,jennymorrischef,5
intertweat,deelishrecipes,4
intertweat,sabrinaghayour,3
intertweat,zeffy34,2
intertweat,tableofeightuk,1
goodgoingmoron,the_syphilitic,9
goodgoingmoron,neontaster,6
goodgoingmoron,edrooney_,4
goodgoingmoron,myapaulogies,3
goodgoingmoron,mondo270,2
goodgoingmoron,erockradio,1
lafoodfest,semitaj,11
lafoodfest,phuchkafdmasses,6
lafoodfest,lafoodfest,4
lafoodfest,dimsumanyone,3
lafoodfest,barharlowe,2
lafoodfest,queenofswag4u,1
naadismiles,leepacenews,8
naadismiles,batspeaks,6
naadismiles,armitagina,5
naadismiles,jhezser,4
naadismiles,alessiacrawley,3
naadismiles,heyerette,2
naadismiles,belreddevils,1
slehan,kohls,11
slehan,sjblahblahblog,10
slehan,twoclassychics,6
slehan,ourkidsmom,5
slehan,earthtoecho,4
slehan,fresh_wave,3
slehan,nicolesnickels,2
slehan,whatmommiesneed,1
jenny02419981,ashton5sos,11
jenny02419981,jacobwhitesides,10
jenny02419981,calum5sos,4
jenny02419981,themattespinosa,3
jenny02419981,luke5sos,2
jenny02419981,troyesivan,1
keepcalmfannyon,dan_lepard,9
keepcalmfannyon,sundaybrunchc4,5
keepcalmfannyon,rrrichy,4
keepcalmfannyon,craigcockburn,3
keepcalmfannyon,foodon4,2
keepcalmfannyon,keepcalmfannyon,1
cmontanez712,truescrlife,8
cmontanez712,_theworldcup,5
cmontanez712,typical_soccer,4
cmontanez712,soccerdotcom,3
cmontanez712,soccerruniverse,2
cmontanez712,tim_cahill,1
dianehwolfe,beachbabe515,12
dianehwolfe,jerron1234,11
dianehwolfe,soapsmacktalk,8
dianehwolfe,thedinkologist,7
dianehwolfe,babyanimalpics,3
dianehwolfe,abc,1
majesticessence,menlo5,25
majesticessence,mukmuk069,23
majesticessence,rizzogigirz58,22
majesticessence,papadakisart,21
majesticessence,rossandcompany,20
majesticessence,jilliemary,18
majesticessence,mehra_naina,17
majesticessence,fla_phantom,15
majesticessence,icecoldd_,14
majesticessence,henlee40,12
majesticessence,docmazz_osu,10
majesticessence,laurenarren,9
majesticessence,gjgbtl231,8
majesticessence,hope_ktda,7
majesticessence,hci_ux,6
majesticessence,williamjjlewis,5
majesticessence,terrysullivan,4
majesticessence,forwomenoutlet,3
majesticessence,wernertheu,2
majesticessence,patriotsofmars,1
getcookingyeg,tangleridgernch,24
getcookingyeg,slowfoodyeg,20
getcookingyeg,dubspark,10
getcookingyeg,eatmywordsblog,9
getcookingyeg,cheferichanson,8
getcookingyeg,elysechatt,7
getcookingyeg,blgsinyeg,3
getcookingyeg,reclaimfarm,2
getcookingyeg,alley_kat_beer,1
davemccormick,philaunion,9
davemccormick,dannycruz5,5
davemccormick,jasoncichonski,4
davemccormick,hughacheson,3
